election,election_date,locality,precinct,Early Voting,Provisional,Election Day,Mailed Absentee,Post-Election,TotalVoteTurnout,ActiveRegisteredVoters,InactiveRegisteredVoters,TotalRegisteredVoters,% (totalTurnout_Active)
2023 November General and Special Elections,11/7/2023 0:00,ALBEMARLE COUNTY,501 - KESWICK,168,8,540,66,3,785,1506,80,1586,52%
2023 November General and Special Elections,11/7/2023 0:00,ALBEMARLE COUNTY,502 - STONY POINT,181,4,654,93,17,949,1612,62,1674,59%
2023 November General and Special Elections,11/7/2023 0:00,ALBEMARLE COUNTY,503 - HOLLYMEAD,201,21,1148,155,17,1542,2867,166,3033,54%
2023 November General and Special Elections,11/7/2023 0:00,ALBEMARLE COUNTY,504 - FREE BRIDGE,270,11,616,220,32,1149,2181,203,2384,53%
2023 November General and Special Elections,11/7/2023 0:00,ALBEMARLE COUNTY,506 - BAKER-BUTLER,379,31,1652,260,35,2357,4697,279,4976,50%
2023 November General and Special Elections,11/7/2023 0:00,ALBEMARLE COUNTY,507 - PANTOPS,369,12,738,179,10,1308,2084,84,2168,63%
2023 November General and Special Elections,11/7/2023 0:00,ALBEMARLE COUNTY,601 - CROZET,425,22,1429,242,34,2152,3670,185,3855,59%
2023 November General and Special Elections,11/7/2023 0:00,ALBEMARLE COUNTY,602 - FREE UNION,107,5,640,74,9,835,1424,60,1484,59%
2023 November General and Special Elections,11/7/2023 0:00,ALBEMARLE COUNTY,603 - EARLYSVILLE,283,16,1412,213,17,1941,3250,151,3401,60%
2023 November General and Special Elections,11/7/2023 0:00,ALBEMARLE COUNTY,604 - BROWNSVILLE,436,10,1136,216,19,1817,3066,181,3247,59%
2023 November General and Special Elections,11/7/2023 0:00,ALBEMARLE COUNTY,606 - MECHUMS RIVER,455,31,1484,246,47,2263,3653,158,3811,62%
2023 November General and Special Elections,11/7/2023 0:00,ALBEMARLE COUNTY,ALBEMARLE COUNTY PROVISIONALS,,,,,,,,,,#DIV/0!
2023 November General and Special Elections,11/7/2023 0:00,ALEXANDRIA CITY,101 - LADREY SENIOR BUILDING,578,34,723,249,26,1610,3272,458,3730,49%
2023 November General and Special Elections,11/7/2023 0:00,ALEXANDRIA CITY,102 - CITY HALL,542,18,811,159,25,1555,2869,261,3130,54%
2023 November General and Special Elections,11/7/2023 0:00,ALEXANDRIA CITY,103 - LYLES CROUCH SCHOOL,507,27,1009,206,25,1774,3540,533,4073,50%
2023 November General and Special Elections,11/7/2023 0:00,ALEXANDRIA CITY,104 - DURANT CENTER,374,25,872,193,36,1500,2891,419,3310,52%
2023 November General and Special Elections,11/7/2023 0:00,ALEXANDRIA CITY,105 - LEE CENTER,331,16,671,212,27,1257,2625,492,3117,48%
2023 November General and Special Elections,11/7/2023 0:00,ALEXANDRIA CITY,106 - CORA KELLY,187,32,1136,182,22,1559,3975,931,4906,39%
2023 November General and Special Elections,11/7/2023 0:00,ALEXANDRIA CITY,107 - MT VERNON RECREATION CENTER,340,24,1549,255,31,2199,4067,566,4633,54%
2023 November General and Special Elections,11/7/2023 0:00,ALEXANDRIA CITY,108 - GEORGE WASHINGTON MIDDLE SCH,410,26,1426,261,42,2165,3959,558,4517,55%
2023 November General and Special Elections,11/7/2023 0:00,ALEXANDRIA CITY,109 - FIRE DEPARTMENT HEADQUARTERS,272,25,847,170,23,1337,2486,350,2836,54%
2023 November General and Special Elections,11/7/2023 0:00,ALEXANDRIA CITY,110 - CHARLES HOUSTON CENTER,325,44,1060,204,23,1656,3865,680,4545,43%
2023 November General and Special Elections,11/7/2023 0:00,ALEXANDRIA CITY,111 - POTOMAC YARD,87,20,478,87,12,684,1656,408,2064,41%
2023 November General and Special Elections,11/7/2023 0:00,ALEXANDRIA CITY,201 - NAOMI L. BROOKS SCHOOL,248,17,1004,149,19,1437,2422,193,2615,59%
2023 November General and Special Elections,11/7/2023 0:00,ALEXANDRIA CITY,202 - GEORGE MASON SCHOOL,260,16,1165,159,22,1622,2837,188,3025,57%
2023 November General and Special Elections,11/7/2023 0:00,ALEXANDRIA CITY,203 - CHARLES BARRETT CENTER,200,16,1019,163,20,1418,2625,369,2994,54%
2023 November General and Special Elections,11/7/2023 0:00,ALEXANDRIA CITY,204 - BLESSED SACRAMENT CHURCH,242,24,1183,186,28,1663,2934,239,3173,57%
2023 November General and Special Elections,11/7/2023 0:00,ALEXANDRIA CITY,205 - DOUGLAS MACARTHUR SCHOOL,400,25,949,252,30,1656,3676,553,4229,45%
2023 November General and Special Elections,11/7/2023 0:00,ALEXANDRIA CITY,206 - ALEXANDRIA CITY HIGH SCHOOL,280,21,790,201,24,1316,2978,564,3542,44%
2023 November General and Special Elections,11/7/2023 0:00,ALEXANDRIA CITY,207 - TEMPLE BETH EL SYNAGOGUE,321,24,1055,248,32,1680,3808,354,4162,44%
2023 November General and Special Elections,11/7/2023 0:00,ALEXANDRIA CITY,208 - NOVA ARTS CENTER,210,33,876,192,29,1340,4233,1174,5407,32%
2023 November General and Special Elections,11/7/2023 0:00,ALEXANDRIA CITY,209 - JAMES K POLK SCHOOL,262,29,985,204,30,1510,3892,591,4483,39%
2023 November General and Special Elections,11/7/2023 0:00,ALEXANDRIA CITY,210 - F.T. DAY SCHOOL,169,13,398,346,23,949,2159,416,2575,44%
2023 November General and Special Elections,11/7/2023 0:00,ALEXANDRIA CITY,211 - ALEX RENEW,329,24,669,209,18,1249,2918,510,3428,43%
2023 November General and Special Elections,11/7/2023 0:00,ALEXANDRIA CITY,302 - PATRICK HENRY REC CENTER,173,18,574,126,12,903,3004,691,3695,30%
2023 November General and Special Elections,11/7/2023 0:00,ALEXANDRIA CITY,303 - CHARLES E BEATLEY LIBRARY,247,28,518,156,15,964,2974,513,3487,32%
2023 November General and Special Elections,11/7/2023 0:00,ALEXANDRIA CITY,304 - SAMUEL TUCKER SCHOOL,214,20,591,148,17,990,3531,788,4319,28%
2023 November General and Special Elections,11/7/2023 0:00,ALEXANDRIA CITY,305 - JOHN ADAMS SCHOOL,105,18,588,137,16,864,3826,974,4800,23%
2023 November General and Special Elections,11/7/2023 0:00,ALEXANDRIA CITY,306 - WILLIAM RAMSAY SCHOOL,140,22,687,189,25,1063,4057,647,4704,26%
2023 November General and Special Elections,11/7/2023 0:00,ALEXANDRIA CITY,307 - SOUTH PORT,293,16,611,229,32,1181,3353,489,3842,35%
2023 November General and Special Elections,11/7/2023 0:00,ALEXANDRIA CITY,308 - CAMERON STATION COMMUNITY CTR,335,21,1177,254,24,1811,3492,493,3985,52%
2023 November General and Special Elections,11/7/2023 0:00,ALEXANDRIA CITY,309 - OLYMPUS CONDO,103,15,451,93,13,675,2307,447,2754,29%
2023 November General and Special Elections,11/7/2023 0:00,ALEXANDRIA CITY,ALEXANDRIA CITY PROVISIONALS,,,,,,,,,,#DIV/0!
2023 November General and Special Elections,11/7/2023 0:00,ALLEGHANY COUNTY,101 - ARRITT,68,3,513,24,1,609,1119,44,1163,54%
2023 November General and Special Elections,11/7/2023 0:00,ALLEGHANY COUNTY,103 - DAMERON,19,0,185,1,1,206,380,14,394,54%
2023 November General and Special Elections,11/7/2023 0:00,ALLEGHANY COUNTY,201 - HUMPBACK BRIDGE,36,1,261,14,,312,600,49,649,52%
2023 November General and Special Elections,11/7/2023 0:00,ALLEGHANY COUNTY,202 - DOLLY ANN,77,,423,22,,522,900,75,975,58%
2023 November General and Special Elections,11/7/2023 0:00,ALLEGHANY COUNTY,301 - CALLAGHAN,18,,308,8,,334,614,28,642,54%
2023 November General and Special Elections,11/7/2023 0:00,ALLEGHANY COUNTY,302 - GRIFFITH,63,,414,17,,494,863,31,894,57%
2023 November General and Special Elections,11/7/2023 0:00,ALLEGHANY COUNTY,401 - LOW MOOR,47,4,289,19,,359,677,30,707,53%
2023 November General and Special Elections,11/7/2023 0:00,ALLEGHANY COUNTY,402 - JACKSON HEIGHTS,47,,466,27,,540,919,46,965,59%
2023 November General and Special Elections,11/7/2023 0:00,ALLEGHANY COUNTY,501 - IRON GATE,9,1,171,2,,183,377,19,396,49%
2023 November General and Special Elections,11/7/2023 0:00,ALLEGHANY COUNTY,502 - PETERS SWITCH,36,1,568,9,,614,1212,56,1268,51%
2023 November General and Special Elections,11/7/2023 0:00,ALLEGHANY COUNTY,601 - DISTRICT 1,53,1,535,61,4,654,1331,91,1422,49%
2023 November General and Special Elections,11/7/2023 0:00,ALLEGHANY COUNTY,701 - DISTRICT 2,50,1,465,41,1,558,1385,143,1528,40%
2023 November General and Special Elections,11/7/2023 0:00,ALLEGHANY COUNTY,ALLEGHANY COUNTY PROVISIONALS,,,,,,,,,,#DIV/0!
2023 November General and Special Elections,11/7/2023 0:00,AMELIA COUNTY,101 - NUMBER ONE,202,5,578,41,,826,1774,68,1842,47%
2023 November General and Special Elections,11/7/2023 0:00,AMELIA COUNTY,201 - NUMBER TWO,254,7,669,39,,969,1942,69,2011,50%
2023 November General and Special Elections,11/7/2023 0:00,AMELIA COUNTY,301 - NUMBER THREE,249,5,672,29,3,958,2018,56,2074,47%
2023 November General and Special Elections,11/7/2023 0:00,AMELIA COUNTY,401 - NUMBER FOUR,350,7,555,62,,974,2093,86,2179,47%
2023 November General and Special Elections,11/7/2023 0:00,AMELIA COUNTY,501 - NUMBER FIVE,166,5,746,32,,949,2045,70,2115,46%
2023 November General and Special Elections,11/7/2023 0:00,AMELIA COUNTY,AMELIA COUNTY PROVISIONALS,,,,,,,,,,#DIV/0!
2023 November General and Special Elections,11/7/2023 0:00,AMHERST COUNTY,101 - WRIGHT SHOP,75,,509,81,7,672,1543,68,1611,44%
2023 November General and Special Elections,11/7/2023 0:00,AMHERST COUNTY,102 - NEW GLASGOW,174,,673,55,4,906,1989,67,2056,46%
2023 November General and Special Elections,11/7/2023 0:00,AMHERST COUNTY,103 - COOLWELL,47,,355,20,4,426,889,42,931,48%
2023 November General and Special Elections,11/7/2023 0:00,AMHERST COUNTY,201 - COURT HOUSE,362,,1060,120,7,1549,3024,152,3176,51%
2023 November General and Special Elections,11/7/2023 0:00,AMHERST COUNTY,202 - TEMPERANCE,82,,506,35,3,626,1151,41,1192,54%
2023 November General and Special Elections,11/7/2023 0:00,AMHERST COUNTY,301 - MONROE,101,,509,35,1,646,1167,51,1218,55%
2023 November General and Special Elections,11/7/2023 0:00,AMHERST COUNTY,302 - ELON,231,,1321,73,10,1635,2932,97,3029,56%
2023 November General and Special Elections,11/7/2023 0:00,AMHERST COUNTY,303 - PLEASANT VIEW,84,,319,26,1,430,744,33,777,58%
2023 November General and Special Elections,11/7/2023 0:00,AMHERST COUNTY,401 - AMELON,267,,1247,96,12,1622,3402,179,3581,48%
2023 November General and Special Elections,11/7/2023 0:00,AMHERST COUNTY,402 - LONCO,75,,337,35,3,450,1110,79,1189,41%
2023 November General and Special Elections,11/7/2023 0:00,AMHERST COUNTY,501 - MADISON,237,,1268,125,6,1636,3855,188,4043,42%
2023 November General and Special Elections,11/7/2023 0:00,AMHERST COUNTY,AMHERST COUNTY PROVISIONALS,,,,,,,,,,#DIV/0!
2023 November General and Special Elections,11/7/2023 0:00,APPOMATTOX COUNTY,101 - VERA,76,2,255,10,,343,780,43,823,44%
2023 November General and Special Elections,11/7/2023 0:00,APPOMATTOX COUNTY,102 - PAMPLIN,119,4,571,23,,717,1561,94,1655,46%
2023 November General and Special Elections,11/7/2023 0:00,APPOMATTOX COUNTY,201 - CHAP,19,,157,13,,189,568,31,599,33%
2023 November General and Special Elections,11/7/2023 0:00,APPOMATTOX COUNTY,202 - SPOUT SPRING,152,2,573,27,1,755,1846,83,1929,41%
2023 November General and Special Elections,11/7/2023 0:00,APPOMATTOX COUNTY,301 - US  460,80,5,352,16,1,454,1090,58,1148,42%
2023 November General and Special Elections,11/7/2023 0:00,APPOMATTOX COUNTY,302 - STONEWALL,62,5,413,24,,504,1342,87,1429,38%
2023 November General and Special Elections,11/7/2023 0:00,APPOMATTOX COUNTY,401 - COURTHOUSE,151,5,478,33,1,668,2133,122,2255,31%
2023 November General and Special Elections,11/7/2023 0:00,APPOMATTOX COUNTY,501 - OAKVILLE,97,3,433,16,3,552,1634,83,1717,34%
2023 November General and Special Elections,11/7/2023 0:00,APPOMATTOX COUNTY,502 - AGEE,41,1,174,17,4,237,714,43,757,33%
2023 November General and Special Elections,11/7/2023 0:00,APPOMATTOX COUNTY,APPOMATTOX COUNTY PROVISIONALS,,,,,,,,,,#DIV/0!
2023 November General and Special Elections,11/7/2023 0:00,ARLINGTON COUNTY,101 - PRECINCT 101,113,17,609,84,8,831,2770,341,3111,30%
2023 November General and Special Elections,11/7/2023 0:00,ARLINGTON COUNTY,102 - PRECINCT 102,284,31,986,155,35,1491,3263,418,3681,46%
2023 November General and Special Elections,11/7/2023 0:00,ARLINGTON COUNTY,103 - PRECINCT 103,145,15,693,131,15,999,1875,181,2056,53%
2023 November General and Special Elections,11/7/2023 0:00,ARLINGTON COUNTY,104 - PRECINCT 104,205,26,1033,190,39,1493,3488,459,3947,43%
2023 November General and Special Elections,11/7/2023 0:00,ARLINGTON COUNTY,105 - PRECINCT 105,195,20,921,158,26,1320,2644,356,3000,50%
2023 November General and Special Elections,11/7/2023 0:00,ARLINGTON COUNTY,106 - PRECINCT 106,138,35,620,136,25,954,2453,593,3046,39%
2023 November General and Special Elections,11/7/2023 0:00,ARLINGTON COUNTY,107 - PRECINCT 107,277,13,997,193,39,1519,2960,380,3340,51%
2023 November General and Special Elections,11/7/2023 0:00,ARLINGTON COUNTY,108 - PRECINCT 108,163,33,1014,229,29,1468,3751,763,4514,39%
2023 November General and Special Elections,11/7/2023 0:00,ARLINGTON COUNTY,109 - PRECINCT 109,284,23,990,165,24,1486,3803,571,4374,39%
2023 November General and Special Elections,11/7/2023 0:00,ARLINGTON COUNTY,110 - PRECINCT 110,450,49,972,209,37,1717,4264,866,5130,40%
2023 November General and Special Elections,11/7/2023 0:00,ARLINGTON COUNTY,111 - PRECINCT 111,165,12,809,143,20,1149,2144,162,2306,54%
2023 November General and Special Elections,11/7/2023 0:00,ARLINGTON COUNTY,112 - PRECINCT 112,124,22,1126,153,36,1461,2573,233,2806,57%
2023 November General and Special Elections,11/7/2023 0:00,ARLINGTON COUNTY,113 - PRECINCT 113,106,14,619,115,21,875,2065,194,2259,42%
2023 November General and Special Elections,11/7/2023 0:00,ARLINGTON COUNTY,114 - PRECINCT 114,157,15,640,153,21,986,2320,336,2656,43%
2023 November General and Special Elections,11/7/2023 0:00,ARLINGTON COUNTY,115 - PRECINCT 115,95,10,537,77,18,737,1669,264,1933,44%
2023 November General and Special Elections,11/7/2023 0:00,ARLINGTON COUNTY,116 - PRECINCT 116,331,28,952,169,37,1517,3349,442,3791,45%
2023 November General and Special Elections,11/7/2023 0:00,ARLINGTON COUNTY,117 - PRECINCT 117,311,15,1092,258,46,1722,3173,333,3506,54%
2023 November General and Special Elections,11/7/2023 0:00,ARLINGTON COUNTY,118 - PRECINCT 118,574,69,1189,185,40,2057,5423,1169,6592,38%
2023 November General and Special Elections,11/7/2023 0:00,ARLINGTON COUNTY,119 - PRECINCT 119,337,51,898,197,37,1520,4338,921,5259,35%
2023 November General and Special Elections,11/7/2023 0:00,ARLINGTON COUNTY,120 - PRECINCT 120,417,8,909,219,41,1594,2955,171,3126,54%
2023 November General and Special Elections,11/7/2023 0:00,ARLINGTON COUNTY,121 - PRECINCT 121,73,13,463,86,18,653,1621,186,1807,40%
2023 November General and Special Elections,11/7/2023 0:00,ARLINGTON COUNTY,122 - PRECINCT 122,186,21,1040,194,29,1470,2776,321,3097,53%
2023 November General and Special Elections,11/7/2023 0:00,ARLINGTON COUNTY,123 - PRECINCT 123,178,15,1035,189,38,1455,2860,210,3070,51%
2023 November General and Special Elections,11/7/2023 0:00,ARLINGTON COUNTY,124 - PRECINCT 124,325,22,1260,210,43,1860,3949,364,4313,47%
2023 November General and Special Elections,11/7/2023 0:00,ARLINGTON COUNTY,125 - PRECINCT 125,178,28,921,192,35,1354,2804,308,3112,48%
2023 November General and Special Elections,11/7/2023 0:00,ARLINGTON COUNTY,126 - PRECINCT 126,209,16,856,147,23,1251,3449,554,4003,36%
2023 November General and Special Elections,11/7/2023 0:00,ARLINGTON COUNTY,127 - PRECINCT 127,230,23,1009,182,26,1470,3176,359,3535,46%
2023 November General and Special Elections,11/7/2023 0:00,ARLINGTON COUNTY,128 - PRECINCT 128,193,19,927,201,37,1377,3765,510,4275,37%
2023 November General and Special Elections,11/7/2023 0:00,ARLINGTON COUNTY,129 - PRECINCT 129,227,21,1070,224,30,1572,2774,164,2938,57%
2023 November General and Special Elections,11/7/2023 0:00,ARLINGTON COUNTY,130 - PRECINCT 130,159,8,713,155,16,1051,3213,347,3560,33%
2023 November General and Special Elections,11/7/2023 0:00,ARLINGTON COUNTY,131 - PRECINCT 131,241,15,1076,184,27,1543,2884,203,3087,54%
2023 November General and Special Elections,11/7/2023 0:00,ARLINGTON COUNTY,132 - PRECINCT 132,65,2,377,72,12,528,1320,182,1502,40%
2023 November General and Special Elections,11/7/2023 0:00,ARLINGTON COUNTY,133 - PRECINCT 133,316,11,1056,224,24,1631,2990,168,3158,55%
2023 November General and Special Elections,11/7/2023 0:00,ARLINGTON COUNTY,134 - PRECINCT 134,253,24,939,171,29,1416,2612,162,2774,54%
2023 November General and Special Elections,11/7/2023 0:00,ARLINGTON COUNTY,135 - PRECINCT 135,519,14,980,212,28,1753,3249,174,3423,54%
2023 November General and Special Elections,11/7/2023 0:00,ARLINGTON COUNTY,136 - PRECINCT 136,320,12,1011,214,21,1578,3212,321,3533,49%
2023 November General and Special Elections,11/7/2023 0:00,ARLINGTON COUNTY,137 - PRECINCT 137,179,13,1051,156,33,1432,2595,127,2722,55%
2023 November General and Special Elections,11/7/2023 0:00,ARLINGTON COUNTY,138 - PRECINCT 138,136,6,626,110,15,893,2846,638,3484,31%
2023 November General and Special Elections,11/7/2023 0:00,ARLINGTON COUNTY,139 - PRECINCT 139,129,7,594,95,23,848,1744,100,1844,49%
2023 November General and Special Elections,11/7/2023 0:00,ARLINGTON COUNTY,140 - PRECINCT 140,309,42,1002,195,36,1584,3989,703,4692,40%
2023 November General and Special Elections,11/7/2023 0:00,ARLINGTON COUNTY,141 - PRECINCT 141,388,31,666,115,18,1218,3218,622,3840,38%
2023 November General and Special Elections,11/7/2023 0:00,ARLINGTON COUNTY,142 - PRECINCT 142,143,18,696,119,13,989,2561,445,3006,39%
2023 November General and Special Elections,11/7/2023 0:00,ARLINGTON COUNTY,143 - PRECINCT 143,49,19,430,69,6,573,2573,330,2903,22%
2023 November General and Special Elections,11/7/2023 0:00,ARLINGTON COUNTY,144 - PRECINCT 144,159,40,551,99,19,868,2227,533,2760,39%
2023 November General and Special Elections,11/7/2023 0:00,ARLINGTON COUNTY,145 - PRECINCT 145,127,19,564,109,26,845,2362,412,2774,36%
2023 November General and Special Elections,11/7/2023 0:00,ARLINGTON COUNTY,146 - PRECINCT 146,210,43,950,174,34,1411,3757,756,4513,38%
2023 November General and Special Elections,11/7/2023 0:00,ARLINGTON COUNTY,147 - PRECINCT 147,124,12,637,92,15,880,2317,267,2584,38%
2023 November General and Special Elections,11/7/2023 0:00,ARLINGTON COUNTY,148 - PRECINCT 148,293,16,533,98,26,966,2473,428,2901,39%
2023 November General and Special Elections,11/7/2023 0:00,ARLINGTON COUNTY,149 - PRECINCT 149,124,20,600,111,15,870,2396,452,2848,36%
2023 November General and Special Elections,11/7/2023 0:00,ARLINGTON COUNTY,150 - PRECINCT 150,104,21,656,124,21,926,3165,812,3977,29%
2023 November General and Special Elections,11/7/2023 0:00,ARLINGTON COUNTY,151 - PRECINCT 151,20,9,337,35,9,410,772,75,847,53%
2023 November General and Special Elections,11/7/2023 0:00,ARLINGTON COUNTY,152 - PRECINCT 152,55,12,472,73,12,624,2420,481,2901,26%
2023 November General and Special Elections,11/7/2023 0:00,ARLINGTON COUNTY,153 - PRECINCT 153,82,39,811,109,21,1062,3017,787,3804,35%
2023 November General and Special Elections,11/7/2023 0:00,ARLINGTON COUNTY,154 - PRECINCT 154,93,24,375,53,10,555,1480,309,1789,38%
2023 November General and Special Elections,11/7/2023 0:00,ARLINGTON COUNTY,ARLINGTON COUNTY PROVISIONALS,,,,,,,,,,#DIV/0!
2023 November General and Special Elections,11/7/2023 0:00,AUGUSTA COUNTY,101 - JOLIVUE,149,,455,44,1,649,1507,69,1576,43%
2023 November General and Special Elections,11/7/2023 0:00,AUGUSTA COUNTY,102 - STUARTS DRAFT ELEMENTARY,42,,226,16,2,286,973,96,1069,29%
2023 November General and Special Elections,11/7/2023 0:00,AUGUSTA COUNTY,103 - VERONA,219,,539,42,2,802,2087,62,2149,38%
2023 November General and Special Elections,11/7/2023 0:00,AUGUSTA COUNTY,104 - WILSON,168,,526,61,4,759,2225,187,2412,34%
2023 November General and Special Elections,11/7/2023 0:00,AUGUSTA COUNTY,201 - CRIMORA,195,,737,76,1,1009,3326,133,3459,30%
2023 November General and Special Elections,11/7/2023 0:00,AUGUSTA COUNTY,202 - NEW HOPE,119,,529,29,1,678,1435,47,1482,47%
2023 November General and Special Elections,11/7/2023 0:00,AUGUSTA COUNTY,203 - WEYERS CAVE,187,,894,41,,1122,2603,108,2711,43%
2023 November General and Special Elections,11/7/2023 0:00,AUGUSTA COUNTY,301 - FORT DEFIANCE,275,,554,41,1,871,1882,70,1952,46%
2023 November General and Special Elections,11/7/2023 0:00,AUGUSTA COUNTY,302 - NORTH RIVER,136,,603,35,1,775,1528,42,1570,51%
2023 November General and Special Elections,11/7/2023 0:00,AUGUSTA COUNTY,303 - MOUNT SOLON,58,,567,29,,654,1445,37,1482,45%
2023 November General and Special Elections,11/7/2023 0:00,AUGUSTA COUNTY,304 - ROLLA,420,,636,76,5,1137,2688,116,2804,42%
2023 November General and Special Elections,11/7/2023 0:00,AUGUSTA COUNTY,401 - BUFFALO GAP,130,,612,35,1,778,1643,49,1692,47%
2023 November General and Special Elections,11/7/2023 0:00,AUGUSTA COUNTY,402 - CHURCHVILLE ELEMENTARY,162,,787,44,2,995,2020,64,2084,49%
2023 November General and Special Elections,11/7/2023 0:00,AUGUSTA COUNTY,403 - CRAIGSVILLE,36,,347,4,3,390,1169,77,1246,33%
2023 November General and Special Elections,11/7/2023 0:00,AUGUSTA COUNTY,404 - DEERFIELD,16,,215,4,1,236,467,8,475,51%
2023 November General and Special Elections,11/7/2023 0:00,AUGUSTA COUNTY,405 - CEDAR GREEN,257,,612,62,,931,1986,64,2050,47%
